Actin REAL650
Arginase-1 2
Bcl 2 REA872
beta Actin REAL571
beta Catenin REA480
Calponin REA1104
CD1c REAL1005
CD3 REA1151
CD4 REA1307
CD8a REA1024
CD11b REA1321
CD11c REA1310
CD14 REA1314
CD15 VIMC6
CD16 REA1324
CD20 Cytoplasmic REAL649
CD31 REA1312
CD38 REAL719
CD39 EPR20627
CD44 DB105
CD45 EPR20033
CD45RA REAL164
CD45RB REA119
CD45RO REA611
CD56 REA1326
CD57 REA769
CD66 REA1158
CD66b REA306
CD68 REA1306
CD79a REA1168
CD107a REAL653
CD107b REA1073
CD134 ACT35
CD138 REA929 3
CD163 REA1309
CD209 REAL690
CD276 SP206
CD324 REA1319
CD326 REA1311
cleaved PARP 1 REA1316
Collagen I REAL958
CollagenIV 2
CTLA4-CD152 CAL49
Cytokeratin 5 6 REAL538
Cytokeratin 5 REAL899
Cytokeratin 7 REA935
Cytokeratin 14 REAL831
Cytokeratin 19 REAL822
Cytokeratin 20 REAL753
Cytokeratin REAL648
ErbB 2 REA1315
FoxP3 REA1253
FSP1 1C4
Galectin 9 REA435
Galectin9 REA435 2
GLUT1 REAL763
HLA ABC REAL597
HLA DR REAL550
Ki 67 REA183
MART 1 REA1093
Mast Cell Tryptase REAL798
MRP14 REA859
NUT C52B1 1
NYEso CTAG1B
p53 REA1132
PCNA REA858
Podoplanin REA446
PRAME EPR20330
S-100 1
Synaptophysin REA1121
Vimentin REAL1008
VISTA D1L2G
CD274 REA1308
CD223 REA351
CD90 REAL677
p16 REA1325
TIM-3 REAL818
