,Lineage_level,CD3,CD66b,Cytokeratin,MastCellTryptase,Actin,Myosin_Smooth_Muscle,CD20,CD56,CD45RO,CD138,CD68,CD14,CD8,CD4,FOXP3,CD31
T-cells,1_0_1,1,0,NA,0,0,0,0,0,1,0,0,0,NA,NA,NA,0
Granulocytes,1_0_2,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancer,1_0_3,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0
Mast cells,1_0_4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Macrophages,1_0_5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Fibroblasts,1_0_6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
B-cells,1_0_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NK,1_0_8,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,0,0
plasma,1_0_9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Endothelial,1_0_10,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,1
CD4 T-cells,2_1_11,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0
CD8 T-cells,2_1_12,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DP T-cells,2_1_13,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
DN T-cells,2_1_14,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tregs,3_11_15,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0
non-Treg CD4,3_11_16,NA,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0
